ntaxa,mpd.obs,mpd.rand.mean,mpd.rand.sd,mpd.obs.rank,mpd.obs.z,mpd.obs.p,runs,mntd.obs,mntd.rand.mean,mntd.rand.sd,mntd.obs.rank,mntd.obs.z,mntd.obs.p,Tmin,Tmax,Pmin,Pmax,AET,ETR,WDI,Deglac.,x,y,year,nri,nti,nri_p,nti_p,nri_significant,nti_significant
16,159.6398729,159.734224,13.1431826,495,-0.007178712,0.495,999,158.3905399,132.787092,27.52767309,826,0.930098516,0.826,-14.5585711,28.65571365,21.85714318,117.0285732,776.8642973,0.681152939,-127.2571448,22000,-93.25,43.25,0BP,0.007178712,-0.930098516,0.495,0.826,FALSE,FALSE
8,112.0888216,142.2982986,33.9675659,239,-0.88936243,0.239,999,136.737285,156.6912798,25.04674778,182,-0.796670088,0.182,-20.06428527,26.36428512,11.69285732,69.67857247,333.9928621,0.320795367,-498.371436,15000,-107.75,50.75,0BP,0.88936243,0.796670088,0.239,0.182,FALSE,FALSE
10,152.6519098,153.2787294,22.98613399,416,-0.027269466,0.416,999,117.6650001,137.6088874,18.67981656,114,-1.067670405,0.114,-29.25785649,17.7099996,39.83571488,113.9714303,381.7714343,0.99236421,452.7214353,8000,-66.75,53.75,0BP,0.027269466,1.067670405,0.416,0.114,FALSE,FALSE
6,71.80218921,77.76353189,26.50385478,314,-0.22492361,0.314,999,136.6300226,142.776994,27.02545279,345,-0.227451188,0.345,-13.76357112,17.8699996,64.43571525,100.3857158,443.3928637,0.98503445,539.8928652,15000,-56.25,50.25,0BP,0.22492361,0.227451188,0.314,0.345,FALSE,FALSE
14,150.8537407,143.4517836,18.44000113,702.5,0.401407629,0.7025,999,123.8402643,125.3623209,13.76580556,511.5,-0.110567929,0.5115,-17.73428532,24.70857088,68.68571531,107.9928588,619.5571521,0.981947531,469.0642927,16000,-67.75,46.25,0BP,-0.401407629,0.110567929,0.7025,0.5115,FALSE,FALSE
14,29.95936767,81.33015353,39.05696104,25,-1.315278621,0.025,999,90.2903005,107.341267,17.71308436,41,-0.962619842,0.041,-18.83785672,20.97499953,65.67857241,117.9500018,573.6214371,0.985962698,525.3357221,10000,-65.75,48.75,0BP,1.315278621,0.962619842,0.025,0.041,TRUE,TRUE
18,130.8751704,159.9387168,21.33565356,89,-1.362205584,0.089,999,152.6545642,130.5697638,29.95479262,795,0.737271017,0.795,-16.11357107,31.09357073,8.807142988,85.50000127,455.5500068,0.31402399,-615.0285806,22000,-99.75,44.75,0BP,1.362205584,-0.737271017,0.089,0.795,FALSE,FALSE
23,189.5384274,191.2079954,6.581815249,317,-0.253663756,0.317,999,89.77390707,109.281487,17.01871914,114.5,-1.146242546,0.1145,-13.2899997,25.68499943,60.27857233,81.85714408,641.7142953,0.867671201,151.664288,15000,-78.25,44.25,0BP,0.253663756,1.146242546,0.317,0.1145,FALSE,FALSE
25,201.1673934,200.9576743,6.897683888,429,0.030404284,0.429,999,113.1708702,106.0647313,16.36706778,673,0.434173001,0.673,-8.658571235,26.90428511,58.54285802,79.85714405,698.0857247,0.851702581,16.66428596,15000,-79.75,43.25,0BP,-0.030404284,-0.434173001,0.429,0.673,FALSE,FALSE
17,127.8442355,146.6364145,18.20837734,97,-1.032062254,0.097,999,111.5687006,117.6261859,14.05007304,359,-0.431135507,0.359,-19.05499957,24.56357088,26.63571468,99.09285862,664.9214385,0.909380748,87.39285845,15000,-89.25,46.25,0BP,1.032062254,0.431135507,0.097,0.359,FALSE,FALSE
21,154.8599567,144.419892,18.79614506,720,0.555436483,0.72,999,99.49555327,110.0743855,25.63722298,385,-0.412635653,0.385,-3.529999921,32.68785641,74.6357154,119.8500018,1070.507159,0.917254078,-67.69285815,22000,-91.25,36.75,0BP,-0.555436483,0.412635653,0.72,0.385,FALSE,FALSE
25,176.6352108,176.0595107,11.60813606,503,0.04959453,0.503,999,107.8741922,106.386047,20.14623826,587,0.073867153,0.587,-12.16571401,26.90714226,76.76428686,110.7285731,806.1928692,0.9571506,315.9214333,16000,-72.75,42.75,0BP,-0.04959453,-0.073867153,0.503,0.587,FALSE,FALSE
27,187.2905576,178.6917981,11.65339881,801,0.737875667,0.801,999,114.8183558,108.3997211,20.70115731,653,0.310061635,0.653,-6.627856995,27.02428511,89.68571562,127.192859,883.2428703,0.959062536,327.1714334,22000,-69.75,41.75,0BP,-0.737875667,-0.310061635,0.801,0.653,FALSE,FALSE
21,119.0115761,129.1880419,20.52656777,336,-0.495770453,0.336,999,99.57837518,107.2000789,11.87466298,224,-0.641845896,0.224,-16.8314282,22.25214236,91.62857279,129.6357162,596.692866,0.979373767,722.6500108,15000,-71.75,44.25,0BP,0.495770453,0.641845896,0.336,0.224,FALSE,FALSE
8,160.8632781,127.0009852,32.80294744,839,1.032294215,0.839,999,120.5455975,144.5948488,27.96688422,245,-0.859918863,0.245,-28.22928508,10.54428548,14.86428594,65.4785724,203.1928602,0.985367599,185.135717,9000,-69.75,60.75,0BP,-1.032294215,0.859918863,0.839,0.245,FALSE,FALSE
11,49.40321556,72.8377267,40.66462949,305,-0.576287339,0.305,999,99.53888487,113.6938934,22.00982558,256,-0.643122251,0.256,-18.96714243,21.31785667,60.05000089,122.2642875,555.3571511,0.987277768,576.9214372,12000,-66.25,48.75,0BP,0.576287339,0.643122251,0.305,0.256,FALSE,FALSE
23,171.1192167,164.1483481,12.70539671,708,0.548654144,0.708,999,110.0095674,108.5240275,20.28475158,558,0.073234319,0.558,-5.673571302,27.39642796,90.25000134,116.785716,902.371442,0.962013369,264.3142897,22000,-70.75,41.25,0BP,-0.548654144,-0.073234319,0.708,0.558,FALSE,FALSE
13,76.93752433,98.91706313,26.27928469,129,-0.836382689,0.129,999,105.3739609,115.8366373,16.04551075,225,-0.65206253,0.225,-17.95357103,25.06428515,48.15714357,106.8714302,644.6357239,0.975127665,218.7285747,12000,-79.25,46.25,0BP,0.836382689,0.65206253,0.129,0.225,FALSE,FALSE
28,152.8738401,163.4070187,12.97248135,169,-0.811963284,0.169,999,81.02342731,96.62800061,20.74958017,245,-0.752042845,0.245,-6.657856994,27.09928511,88.32142989,121.1071447,878.1142988,0.963751375,305.0928617,20000,-70.25,41.75,0BP,0.811963284,0.752042845,0.169,0.245,FALSE,FALSE
18,173.5195169,164.6467603,17.5100766,632,0.506722891,0.632,999,144.6686963,127.8161165,16.82380087,861,1.001710603,0.861,-11.74357117,22.25142807,84.4428584,139.3285735,587.7571516,0.991821902,677.5714387,14000,-62.25,46.25,0BP,-0.506722891,-1.001710603,0.632,0.861,FALSE,FALSE
11,137.3978121,130.3653625,22.98265402,613.5,0.305989446,0.6135,999,109.3103517,125.5027679,16.98665376,149,-0.953243434,0.149,-24.8821423,23.97571375,17.57142883,91.94285851,513.5500077,0.517661146,-133.7714306,14000,-99.75,50.75,0BP,-0.305989446,0.953243434,0.6135,0.149,FALSE,FALSE
